name;city;adress;phone;scale;material_type
Blake-Evans;Tranhaven;5205 Wallace Lane Apt. 956;8 904 814 34 17;large;plastic
Meyer Ltd;Port Dorothy;75162 Matthew Mall Apt. 436;89445041905;large;plastic
Rodriguez LLC;Lake Erinfort;071 Dakota Orchard Apt. 686;8 (066) 716-04-96;tiny;metal
Brown-Rodriguez;Colleenborough;432 Lindsey Dale Suite 884;80233697068;small;
Garcia Ltd;Haletown;175 Laura Plaza;+7 (005) 469-88-89;big;plastic
Mcneil Inc;Shawport;712 Henderson Isle Suite 902;+7 999 075 7740;tiny;plastic
Herrera, Taylor and Smith;Sanfordbury;52380 Christopher Summit Suite 103;+7 228 062 7256;big;plastic
Watson-Anderson;Shelbyhaven;9549 Garcia Islands Suite 627;8 961 909 0882;large;plastic
Burns, Foster and Ray;Port Julia;70252 Joyce Way Suite 750;8 (055) 028-53-49;big;fabric
Lawson-Ford;West Amy;618 Tiffany Garden;+7 (803) 099-00-59;big;plastic
Carrillo-Combs;Isabelside;895 Kelly Valley Apt. 425;8 007 607 4970;big;metal
Shannon-Smith;North Crystal;758 Michael Expressway Apt. 454;+7 (415) 356-0647;tiny;metal
Jensen Inc;North Ronaldfort;90576 Miranda Mountains;+7 (721) 252-17-17;medium;metal
Davis-Craig;Gomezside;3190 Smith Ramp Apt. 066;8 581 604 05 99;big;metal
Griffin PLC;Lake Jack;44343 Solis Orchard Apt. 309;+7 (691) 095-5482;large;wood
Hayden-Hernandez;East Wendyberg;7454 Stokes Street;+7 (103) 008-27-35;large;fabric
Fuller Group;Brownville;617 Robinson Islands Suite 072;+7 (203) 905-31-53;small;wood
Conner, Newman and Fuentes;Christianshire;1549 Megan Route Suite 915;+7 (886) 567-38-93;big;metal
Myers, Whitehead and Howard;East Melissa;007 Mitchell Stream;+7 078 763 0214;small;plastic
Rodriguez-Zimmerman;Hillfort;5445 Kevin Road Apt. 696;8 (006) 461-83-67;big;fabric
George-Sanchez;Port Lesliefurt;24309 Diaz Plains;8 (608) 290-1112;tiny;metal
Garcia, Johnson and Washington;West Gina;57745 Reeves Shores;+7 914 535 0018;small;metal
Berry-Wu;Kramerville;70210 Grant Well;8 (171) 512-8524;small;plastic
Marsh-Alexander;Murraychester;43186 Todd Ford;+7 (033) 809-67-76;big;plastic
Jackson, Edwards and Torres;Tranmouth;557 Banks Mountains;87548433129;big;metal
Sims, Martin and Contreras;Leeberg;6242 Sarah Spur Apt. 664;+7 (365) 733-38-74;medium;metal
Martinez PLC;West Helen;34638 Walker Locks Suite 870;8 (108) 677-7273;medium;metal
Escobar LLC;Johnsonville;6415 Blake Lodge Suite 695;+7 348 378 3078;medium;metal
Bauer-Miller;Christopherville;26867 James Pass;+7 499 212 98 36;medium;
Alvarez, Mack and Zuniga;Michelemouth;4585 Ramos Plaza;8 (129) 499-08-95;tiny;plastic
Rodgers Inc;New Rachel;4255 Hampton Locks;8 (880) 958-6728;medium;metal
Young, Flores and Newman;North Donna;7399 Phillips Wells Suite 608;80400972979;large;plastic
Miranda PLC;Port Daniel;16679 Julie Springs Apt. 164;8 (654) 526-3723;big;metal
Garcia Ltd;Wardmouth;3150 Susan Knolls Suite 980;8 (675) 545-7151;big;metal
Allen LLC;Archerhaven;054 Wallace Fields;8 615 344 72 18;medium;metal
Knox, Guzman and Rojas;New Christian;7439 Teresa Run Apt. 066;8 061 186 0514;large;metal
Abbott Ltd;West Danaport;9969 Jonathan Divide Suite 018;+7 589 957 0172;large;
Hernandez, Tran and Miller;Thomasport;2806 Horn Ford Suite 615;8 580 285 01 72;large;plastic
Weber Group;Taylorton;168 Robert Mountains;8 (912) 840-4917;tiny;metal
Smith-Parker;Lake Donald;73524 Hampton Trail;8 757 261 1821;big;plastic
Tanner, Hall and Richardson;South Katherine;25393 Olsen Camp Apt. 568;+7 957 945 56 81;tiny;plastic
Griffith Inc;Bonnieborough;06870 Jennifer Prairie;+7 (329) 821-2907;big;
Mccoy LLC;South Cynthiaburgh;7489 Barbara Parkways Apt. 844;+7 326 742 7400;medium;plastic
Bailey-Simon;Portershire;079 Heidi Glens Suite 346;8 202 626 22 20;small;plastic
Armstrong Ltd;Williamstown;737 Richard Inlet;8 (371) 864-7681;tiny;metal
Huff Group;Courtneymouth;3699 Cole Hill;+7 (328) 737-53-48;tiny;wood
Bowers-Rhodes;East Rogerside;7367 Sean Fort;8 (754) 662-2170;big;metal
Saunders Inc;West Veronicamouth;952 Brian Cove Apt. 898;+7 (209) 593-20-65;big;plastic
Owens Inc;Smithbury;648 Christina Shores Suite 522;+7 752 236 26 69;big;
Ford and Sons;West Williamchester;1662 Scott Ford Apt. 138;+7 (032) 262-2850;large;plastic
Bradley-Lopez;Danielletown;350 Jennifer Lakes;+7 293 184 54 85;small;plastic
Miller-Anderson;Brendachester;4398 Jane Fords;8 967 995 6907;big;wood
Cooper, Clark and Mcclure;Kevinland;42154 Johnson Terrace Suite 442;8 (024) 837-78-61;big;metal
Young, Avery and Bailey;Andrewsshire;95017 Grace Mall Suite 118;8 373 944 5876;small;metal
Perez, Hernandez and Cowan;North Isaac;208 Fuentes Valley;+7 (017) 374-8211;big;metal
