material_id;center_id;shipment_amount;shipment_cost;shipment_time
1;700;35;12787.49;90
1;536;3;20361.07;29
1;446;42;13851.86;80
1;497;23;49742.4;31
1;832;43;39678.7;14
1;337;23;47595.95;72
1;993;49;26158.66;56
1;1097;87;31541.72;73
1;262;21;13524.81;36
1;260;6;32991.12;56
1;927;52;31239.29;35
1;174;28;10205.28;21
1;178;54;48511.16;14
1;450;58;17281.48;7
1;240;29;33987.0;34
1;403;35;12656.82;69
1;483;61;15364.25;74
1;34;63;38150.45;79
1;697;33;44959.14;56
1;425;35;12527.13;6
1;828;98;47779.93;72
1;87;23;38827.08;14
1;455;13;28229.32;61
1;824;2;31310.01;21
1;1049;67;31676.58;46
2;26;92;19128.17;44
2;826;20;48192.57;81
2;1032;60;13061.75;11
2;198;11;46897.94;35
2;204;92;41825.66;42
2;347;55;12930.76;57
2;261;12;11048.96;96
2;142;22;41966.52;11
2;554;62;21267.21;50
2;757;7;26557.53;37
2;211;60;31558.0;71
2;440;32;28329.55;61
2;533;51;32470.34;7
2;667;24;48863.76;73
3;36;62;31937.31;73
3;1031;76;28507.37;72
3;915;94;33340.18;52
3;14;40;26549.44;60
3;414;83;46832.67;28
3;816;15;29045.3;38
3;862;14;26107.51;91
4;990;78;10711.03;54
4;317;4;31231.01;78
4;628;65;35254.57;27
4;117;78;14574.9;18
4;28;5;23302.13;80
5;319;26;46937.65;84
5;768;65;48480.89;59
5;254;88;21908.67;3
5;546;88;38977.5;31
5;601;56;31235.97;76
5;310;90;25774.21;46
5;752;44;45651.95;80
5;885;86;45923.41;11
5;610;7;11912.79;81
5;918;81;47736.37;62
5;877;38;36070.85;10
5;821;26;13942.45;77
5;923;91;27937.48;54
6;21;75;14848.91;81
6;13;69;41654.3;53
6;922;32;29175.43;1
6;259;19;15295.18;11
6;753;18;26557.94;59
6;957;74;11216.08;95
6;45;87;43644.64;66
6;143;38;14430.12;15
6;149;66;11729.32;17
7;447;10;45332.64;50
7;845;11;14629.93;63
7;875;78;11407.23;22
7;786;55;19091.52;24
7;494;18;30834.12;33
7;1092;46;44102.43;95
7;943;21;26449.7;28
7;419;81;43386.13;81
7;256;76;13753.93;88
7;1007;78;15443.22;57
7;47;23;44375.9;71
8;490;67;17168.58;54
8;638;21;25210.68;75
8;189;30;43030.19;1
8;188;30;46073.51;12
8;616;78;11486.36;61
8;818;18;38053.4;50
8;229;58;29732.21;76
8;393;53;13802.76;99
8;861;32;10533.22;58
8;67;95;40792.99;34
8;113;17;38090.35;64
9;550;6;29624.11;61
9;1057;40;46055.62;47
9;150;45;18312.06;6
9;966;45;15975.33;29
9;415;32;35785.72;44
9;219;46;49499.37;90
9;815;41;42043.24;66
9;252;15;32849.03;56
9;375;70;11649.31;34
9;797;16;47904.18;24
9;716;26;32304.13;4
9;931;19;39533.45;24
9;442;36;37469.46;52
9;807;91;48367.91;27
9;595;78;45857.48;32
9;837;75;23660.81;59
9;733;52;41294.55;56
9;430;2;24233.37;7
9;621;40;15801.23;92
9;944;56;19014.41;36
9;392;48;24333.82;22
9;64;20;23276.39;22
9;705;83;45495.72;55
9;162;22;47613.66;9
9;11;85;26040.76;17
9;563;66;40640.44;28
9;345;10;22267.34;83
9;687;94;21357.26;54
9;560;70;15096.38;35
9;512;82;31475.42;7
10;333;27;25578.9;46
10;677;70;21014.12;13
10;691;61;48118.87;73
10;928;47;12944.83;64
10;33;60;15667.33;83
10;18;12;11336.99;18
10;649;87;43185.63;39
10;936;20;31636.53;85
10;951;33;20394.86;65
10;999;98;24005.0;97
10;400;29;11817.42;75
10;997;54;35582.25;72
10;54;18;26989.26;38
10;996;87;22215.43;32
10;151;82;44582.04;77
10;194;18;46910.81;32
10;592;51;37400.63;84
10;681;53;27446.02;89
10;279;10;38386.19;70
10;62;43;17241.88;85
10;230;80;19560.7;85
10;379;41;49738.66;72
10;856;54;24770.74;21
10;696;72;34388.0;4
10;1086;51;47718.13;53
10;85;14;22720.13;6
10;294;10;10709.88;87
10;795;52;35466.46;65
10;241;2;15057.95;75
11;335;71;37223.27;12
11;56;98;44802.87;37
11;1058;97;37484.51;20
11;376;74;43031.81;37
11;405;85;33749.37;41
11;963;3;43901.68;24
11;1026;94;26091.23;90
11;1035;78;40919.31;64
11;939;36;13761.08;45
11;829;24;15519.25;85
11;770;86;25063.35;89
11;35;34;32509.63;45
11;78;82;43167.96;33
11;1067;57;16409.39;63
11;586;42;34353.33;69
11;831;80;37867.62;28
11;575;86;47903.08;94
11;879;10;11525.11;46
11;357;66;22909.66;19
11;710;84;32155.0;15
11;801;57;14016.55;88
11;564;86;37507.16;40
11;108;17;18029.53;15
11;65;31;12854.27;23
11;25;57;39651.67;29
11;53;81;27392.85;50
11;3;96;35849.73;46
11;1062;34;17831.5;35
11;454;50;49328.75;39
12;58;84;34627.69;35
12;1093;98;44610.01;85
12;331;97;31071.31;64
12;361;67;16995.24;50
12;974;37;46673.06;47
12;785;100;47491.64;72
12;311;15;41777.92;35
12;228;19;13194.86;76
13;953;55;40751.46;7
13;383;84;42764.32;82
13;277;1;14267.19;89
13;784;11;30706.47;11
13;920;33;32682.69;42
13;444;53;38885.83;6
13;332;37;40187.51;55
13;744;77;44393.2;58
13;144;85;27308.51;100
13;282;4;26622.26;29
13;155;5;44814.88;54
13;495;14;35549.15;34
13;27;42;17765.91;92
13;933;98;14038.62;44
13;932;92;39605.68;72
13;530;73;34196.33;19
13;917;4;16340.76;85
13;808;94;37395.34;10
13;562;2;16351.58;18
13;171;72;12222.31;73
13;852;56;45171.78;29
13;109;54;19195.6;68
13;758;50;40443.53;81
13;1070;74;43868.03;57
13;605;65;39719.56;97
13;55;91;13929.72;81
13;80;74;37324.46;23
14;438;48;19433.95;38
14;133;41;47350.66;68
14;1075;55;19660.6;79
14;800;13;33749.55;4
14;673;83;48430.07;34
14;1039;31;49395.82;71
15;140;74;32107.44;49
15;420;32;24197.72;82
15;854;79;12032.08;93
15;39;5;16424.23;7
15;846;43;45938.36;36
15;31;12;35854.58;7
15;271;54;43350.14;35
15;94;58;48676.59;11
15;945;57;22568.57;99
15;502;91;44313.18;49
15;205;39;29685.76;3
15;603;54;31928.96;96
15;919;33;10326.75;87
15;255;58;35338.81;57
15;22;93;48382.75;55
15;847;16;12111.72;46
15;540;9;43187.61;93
15;1050;5;11242.16;48
15;243;70;38572.09;37
15;464;54;34728.08;44
15;749;26;14394.1;80
15;1074;70;14922.52;82
15;1076;64;21257.41;13
15;1030;27;41908.42;64
15;112;27;43888.94;47
15;1004;36;34437.16;36
16;196;42;27913.46;26
16;732;76;31640.11;26
16;423;79;16182.95;76
16;975;77;27379.86;5
16;658;45;49321.19;21
16;458;95;15023.08;96
16;1040;26;16214.81;42
16;157;19;49749.77;91
16;849;85;43274.27;20
16;983;29;26930.33;30
16;491;37;47861.5;3
17;328;76;15678.52;54
17;895;6;20447.87;1
17;611;33;25134.27;67
17;164;84;46057.26;34
17;548;51;45912.31;16
17;396;22;37173.6;9
17;91;96;43810.16;67
17;583;53;31587.56;81
17;1041;50;46582.54;12
17;709;47;16504.96;12
17;493;42;48687.18;72
18;354;66;45457.69;28
18;169;100;41933.37;97
18;250;91;34792.9;36
18;803;77;37549.48;38
18;481;99;18022.21;14
18;349;10;13591.17;35
18;388;19;17409.12;94
18;954;35;36285.52;22
18;1085;88;32304.99;73
19;275;18;30882.08;58
19;1063;46;14912.63;68
19;1001;68;13917.08;59
19;763;99;37663.98;47
19;1077;4;17975.4;63
19;731;25;14699.91;32
19;706;62;37486.54;90
19;908;77;11472.25;27
19;647;93;31998.15;93
19;12;85;43957.14;92
19;802;49;12254.04;6
19;359;85;40236.92;66
19;235;19;24485.72;98
20;227;23;43969.07;70
20;712;19;37574.6;11
20;160;41;43859.5;21
20;994;40;19537.14;9
20;344;29;40178.79;64
20;322;77;29352.16;44
20;130;18;34714.17;7
20;439;34;31409.83;27
20;486;76;37154.85;85
20;543;98;30395.95;18
20;110;78;28654.6;43
20;524;83;44088.42;1
20;146;47;24445.28;34
20;739;28;17922.23;100
20;558;89;20258.59;23
20;774;52;22676.36;78
20;735;74;30146.27;12
20;873;83;12168.16;60
20;576;20;22024.0;66
20;476;95;11696.25;89
20;582;10;44743.53;26
20;220;24;44107.09;15
20;207;17;10385.64;31
21;903;95;13914.62;74
21;782;51;20126.35;56
21;840;9;26350.6;67
21;780;12;36818.46;92
21;693;86;15489.65;66
21;1068;92;23214.57;80
21;99;30;23529.37;88
21;480;60;34344.28;85
22;303;12;42238.15;26
22;1043;48;13209.37;58
22;627;67;24054.23;67
22;970;7;14434.68;36
22;381;46;12628.06;31
22;1015;53;19652.03;59
22;318;48;17791.86;86
22;899;31;29572.82;47
22;251;99;38579.53;71
22;226;97;11943.06;48
22;956;90;11365.17;11
