product_id;material_id;material_yield;disassembly_complexity
1;2;1183.833;8
1;10;386.595;3
1;24;5186.347;0
1;11;8393.433;6
2;45;3854.247;7
2;51;7006.35;10
2;22;3376.853;0
2;14;3406.452;2
3;65;9231.125;5
4;30;2896.634;2
4;50;267.61;5
4;12;6649.341;10
4;15;32.795;10
5;65;7939.698;4
5;13;9512.403;7
5;71;5912.461;9
5;27;5467.74;10
6;10;3711.098;6
6;51;123.143;6
7;8;5097.018;4
8;66;3000.844;1
8;54;5907.112;8
9;49;5731.676;5
10;1;7634.154;4
10;35;403.643;2
10;2;23.694;5
10;27;7226.843;7
11;59;6696.793;8
11;45;9050.068;7
12;43;263.527;4
12;65;1842.107;3
12;61;5975.627;0
12;16;2099.7;3
13;7;1528.275;3
13;13;3072.534;8
13;28;2600.726;8
13;64;7383.321;10
14;48;7319.969;10
15;38;5921.556;7
16;25;9650.013;0
17;33;4132.171;10
17;28;6285.735;3
17;48;3594.044;4
17;40;7051.231;7
18;17;6075.045;6
19;62;2178.377;8
20;47;4108.224;4
20;66;1613.346;0
20;18;2031.713;5
20;51;5743.428;10
21;72;9761.315;3
21;13;5411.41;1
21;7;7812.787;8
21;33;711.232;5
22;42;5304.983;4
23;11;5990.59;10
23;20;1203.411;9
24;57;5713.199;5
24;61;8691.429;3
25;58;296.87;6
26;72;5070.238;10
26;34;518.044;6
27;38;322.901;4
27;10;6229.139;3
27;21;4594.878;9
27;29;6690.802;8
28;22;9190.703;3
28;47;9243.319;8
28;14;841.526;10
28;64;1737.239;4
29;40;4331.552;10
29;49;397.956;6
29;32;5773.259;1
30;19;3673.945;10
31;47;1274.069;1
31;6;4076.828;5
31;20;3859.572;6
32;48;7073.646;3
32;2;9414.869;1
33;45;6019.217;8
33;31;9372.07;2
33;15;8594.967;4
34;43;4907.552;2
34;62;3610.009;8
35;9;2964.811;1
36;18;4996.867;8
36;1;7741.236;7
37;72;1813.8;2
37;55;7883.572;10
37;3;470.648;7
38;27;8407.435;3
38;60;9209.098;6
38;4;6962.874;4
38;71;600.528;10
39;9;1696.974;3
39;21;3254.09;0
39;33;1574.426;6
39;59;8335.821;1
40;47;6837.516;5
40;2;3884.817;6
41;21;5397.706;2
41;43;1741.847;4
41;26;8469.26;6
41;71;7919.056;8
42;55;7309.293;8
42;68;2356.718;3
42;14;45.647;5
43;47;5433.095;1
43;10;8751.632;0
44;16;2875.33;6
44;40;8122.942;5
44;1;6316.664;6
45;45;8478.181;5
45;64;2441.753;6
46;61;6849.298;10
46;22;6131.769;8
47;66;3640.656;2
48;26;2946.645;4
48;37;4246.822;2
48;14;4672.064;10
48;3;9983.703;10
49;17;5440.854;6
49;25;1591.079;2
49;50;758.119;0
49;72;5259.71;1
50;58;1950.305;4
50;12;9832.362;5
50;11;9821.434;9
50;25;3752.522;2
51;57;5853.401;10
51;20;2999.558;10
51;55;9723.825;7
51;52;7907.884;10
52;71;9020.213;3
52;65;2719.043;1
53;24;414.821;10
53;18;6434.417;4
53;36;7111.08;7
53;1;2649.786;5
54;46;8400.862;5
54;34;5533.323;3
54;9;2683.119;10
54;29;3001.251;2
55;2;9634.2;5
55;17;9615.86;8
56;14;4888.363;0
57;4;5487.013;7
57;59;2365.747;9
58;56;8415.091;3
59;59;7225.576;1
59;62;379.007;3
60;30;6278.547;4
60;18;1865.804;8
60;3;5882.043;8
61;13;398.369;0
62;9;864.031;5
62;48;351.081;2
63;21;1540.962;4
63;22;8833.587;1
63;27;169.799;2
63;33;5828.597;4
64;37;7091.19;3
65;56;3779.007;4
65;53;2080.266;0
65;67;9080.988;7
65;36;6483.268;7
66;12;7064.836;0
66;52;4740.809;3
66;38;118.137;4
67;14;3073.278;0
67;42;9439.983;7
67;27;7284.574;7
67;50;1342.839;5
68;40;373.284;0
68;30;9002.516;9
68;6;9010.212;5
69;11;8097.382;9
69;25;585.416;9
69;72;8546.767;10
69;8;6212.143;5
70;5;9338.383;3
70;68;6178.18;3
71;49;2174.893;7
71;41;2146.53;2
71;50;7566.372;0
72;24;6837.137;1
72;59;76.412;8
72;32;5953.976;7
72;1;879.867;6
73;68;4026.219;2
74;48;2515.898;0
74;53;7722.953;7
74;10;8099.127;2
75;66;4394.473;7
76;22;7909.922;10
76;27;1651.096;10
76;51;4840.356;5
77;45;3604.617;9
77;16;9304.286;10
77;37;9916.202;1
78;47;6366.18;8
78;28;383.705;2
79;66;7649.332;4
79;49;3627.656;5
80;17;1320.925;7
80;20;8104.961;6
80;21;7261.859;10
81;47;2015.859;2
81;20;9724.015;3
81;30;3815.609;3
81;41;1576.586;10
82;15;653.514;2
83;63;782.597;4
83;65;4665.526;4
83;68;998.482;9
83;52;3108.74;1
84;72;1364.626;0
84;5;4234.862;10
84;63;7528.815;7
85;62;6048.721;8
85;23;8506.241;6
85;25;6046.86;8
85;44;1560.452;8
86;53;6661.509;8
86;39;2323.736;4
86;31;5425.732;1
87;31;9690.794;7
88;46;4683.934;9
88;36;7983.661;5
88;51;5670.348;9
89;17;1112.495;2
89;36;874.641;0
89;58;9186.372;0
90;50;2419.953;3
90;5;8125.066;1
90;2;5317.258;1
90;67;2640.215;1
91;55;6954.562;0
92;46;4888.924;6
