name;price;weight;manufacturer;barcode
K--Home;36169.91;8545.7;Howard, Manning and Owen;05205776
Lam Lam;49732.16;1085.43;Sanchez-Haynes;09692671
Warm Donfresh;34390.81;1878.69;Perry Ltd;10823859
Quad-Lex;41007.8;5260.97;Cameron-Howard;79703529
Sileco;10857.73;3177.28;Miller-Brown;56851656
Scot Otlam;85422.79;1746.14;Anderson-Cabrera;04285328
San-Is;61091.68;9426.28;Reynolds, Fowler and Torres;81020102
Sonair;84997.95;4399.43;Brown, Gray and Thomas;79218566
Green Touch;71067.31;3992.95;Calderon, Evans and Wells;55140065
Lamfind;21208.24;2121.01;Miller, Bailey and Joyce;35327400
Toughdex;27870.52;1496.97;Smith Inc;75637194
Mat Antax;50601.97;4425.6;Lopez, Martin and Torres;41348567
Dingfind;67474.28;7875.21;Cross and Sons;14348020
Labjob;18818.19;6014.35;Lopez-Garcia;79741712
Jobraning;13663.47;4752.34;Adams Inc;74685509
Donity;75402.96;5648.48;Murphy-Hahn;98753116
Zuntop;75027.66;1226.64;Rodgers and Sons;79081726
Softtouch;77660.16;9651.0;Fitzpatrick Ltd;02001685
Key Saohome;1696.38;6826.25;Long and Sons;12754724
Islam;29774.41;2820.52;Manning-Willis;23168305
Techranfan;70676.82;6137.1;Joseph and Sons;51704308
Dinghold;61788.62;1811.44;Williams, Lopez and Sanchez;67457106
Saneco;71066.25;542.63;Hickman and Sons;04519706
Statfan;16345.3;2312.43;Price-Wolfe;45585982
Antech;90785.6;6189.51;Barnes PLC;13243135
Kan Canity;59241.85;5715.83;Kane-Bernard;65922644
Tripplesunsing;85656.16;8338.61;Grant, Johnson and Ingram;10830185
Math Latstring;37114.9;2489.73;Walker, George and Perez;87082333
Big Tough;77329.05;7912.23;Jimenez-James;85459984
Home Air;9972.52;3465.94;Lowe Ltd;94988871
Rondex;62016.12;1709.62;Larson-Ramirez;41779880
Geolight;86968.42;9112.17;Olsen Group;80711384
